x1,x2,x3,x4,x5,x6,x7,x8
-1590.3800508745696,-2380.9492456330404,-6815.006582906024,-1636.792541283123,-1267.034915759055,-112.2507262664244,-550.1757926344383,-1437.033165520274
-738.7126832216989,-1354.4943493434328,-7606.16915179262,-1752.4915215177357,-465.5329076083219,-1058.373316577081,-46.14531321601563,-590.7912940339934
-193.63695595707603,-130.4647203572335,-10737.717186700305,-3470.498636973857,-23.417880191428342,-6148.134109296508,-2049.917009602401,-114.04111862106815
-167.4947342351247,-367.1704159037923,-14347.540417519034,-3831.597421505636,-2.225263112049581,-6739.221472678455,-2518.162227976418,-103.8647767054766
-220.43272175992638,-687.7098088458037,-11012.63816899121,-2481.8555392353055,-87.15442068864007,-2994.6842660599136,-227.68508086312272,-103.10926316649442
-188.59516145154694,-670.4540353754817,-4385.693428814279,-996.615516417607,-21.207850831791383,-1621.4243708270783,-722.4274058882287,-154.5955905171812
-419.5338190305191,-867.5265733434787,-8299.035488105776,-2068.9539132255995,-278.7586248420917,-2062.886857095533,-55.653629179409556,-347.8308566728317
-214.20501419248248,-562.4627171296459,-12094.66758435956,-2947.3219986242275,-72.75925747196771,-4194.361617249341,-798.49629685918,-6.979169516533298
-286.20938225763416,-937.3612974628215,-13177.779269306395,-3293.0764483991247,-101.02040442373699,-3224.293656020989,-178.72667596639872,-137.2799699042897
-211.22208487484832,-995.4026620445653,-15638.447482792857,-4305.322465492982,-93.33078898013169,-5088.129931100095,-187.38654049801886,-189.68300622699363
-165.649237162199,-872.5759249144069,-20457.051667248965,-6970.646674445301,-6.486600450048343,-9570.279899744195,-1893.8212050263808,-55.625002737341205
-213.19931126310726,-1055.5185766747788,-13927.42420150779,-3568.0837475452913,-119.36399831113437,-3731.9474737601795,-157.79284164275856,-189.66911192886425
-1977.5495994860137,-2533.162636905202,-1053.1328649290442,-465.1747722812638,-1827.1895232668878,-243.9765933239445,-2065.9131865735944,-2010.720985718788
-164.35369786088603,-737.3999489504474,-17716.718015971335,-4799.147228669027,-7.1170974422837565,-6655.161805704123,-1533.451646942624,-51.76623277786505
-141.78927808638974,-687.3703262671321,-15181.560852227374,-4362.803409016195,-5.2782044721047106,-5631.723307461963,-783.1797920575167,-99.91589045156891
-1607.8833388769879,-2367.753545261954,-7283.5616584148665,-1532.5544827249282,-1406.3255811085007,-54.054404494192944,-829.2066833950109,-1508.3660997736438
-76.84283221866205,-107.73841030377989,-8876.802490235486,-2422.3023757123724,-54.51337367745181,-4425.226905946267,-1652.5462845334475,-36.61832293659753
-928.6473439860625,-1535.0026057911612,-6606.163599157031,-1704.1155324695137,-695.1512336036623,-834.5970321216064,-55.23751612622218,-827.809446540059
-174.3559455191635,-78.87531521853995,-10091.12870581599,-2991.499123772111,-71.37644067891034,-5022.058792642654,-1643.223801636588,-39.81173315965262
-1187.0224587955738,-1683.129784291464,-7761.578456536512,-1778.8607984354687,-904.347214865734,-531.9471838561035,-120.18746864557038,-994.1400796308781
-2349.688697654782,-3339.184269604363,-13512.046305963111,-3863.8464503902164,-1715.723549931145,-1418.0533629666509,-10.892606828143611,-1995.3868008507836
-173.44767236919802,-738.6834861662111,-16014.815081768666,-4015.228435590695,-41.148013774840344,-5190.7607820381345,-1216.0467691343651,-10.489603977505665
-2447.081591167623,-2926.3166586684447,-3941.873502714733,-1078.429877465971,-2287.596736782182,-13.45571713313841,-2199.5281275949014,-2377.1138118967415
-100.90227831604452,-343.9694286383241,-9267.294552125135,-1973.014446946173,-61.92521251934648,-3353.198124431441,-1173.5733414158972,-7.476471122800214
-1672.0312136917048,-2534.582748443137,-12898.625517346498,-3862.396700896392,-1248.483319439177,-2315.589017103175,-1.5262488779967325,-1424.790430649047
-3706.9454796450013,-4453.822909169427,-5635.834448224364,-2044.2338211911622,-3391.1136964070497,-0.766345161786961,-2946.1831127219257,-3555.991071144891
-67.04373590502311,-238.41874801688442,-6355.432532362954,-1858.8504771869277,-19.661481559969914,-3302.0399426721697,-961.744181523745,-52.87464008484076
-251.75785613293255,-1010.0701489341427,-17570.6973530223,-4832.880942381843,-1.3548167652363532,-6394.416438597107,-1169.302540743642,-110.06885935647966
-1319.0024526429372,-1853.6430221717287,-9543.788806634313,-2333.894237570952,-1022.1635247063087,-1113.8577257127738,-24.360001057120964,-1129.077328051898
-1989.2243291972095,-2480.5891693763865,-5771.6518696531375,-1318.3034515437832,-1772.792888173991,-15.407598196682686,-1466.0555936047906,-1810.0230463248884
-128.28177143449693,-348.1773385483317,-9999.25958172726,-2074.1909460307465,-87.1636786345649,-3260.005397880064,-1147.459910279308,-3.6799977459311877
-1027.9067744063818,-1424.3367209708183,-5717.984065226465,-1107.4068019412593,-805.8910958803389,-202.9210093591289,-405.4729597140883,-808.2799681202308
